Species,Calling_place,log_DF,log_maleSVL,log_femaleSVL,log_SDI,Mean_Dominant_frequency,Min_Dominant_frequency,Max_Dominant_frequency,SDI (female/male),Mean_SVL_Male,Min_SVL_Male,Max_SVL_Male,n_Male,Mean_SVL_Female,Min_SVL_Female,Max_SVL_Female,n_Female,Group,Genera,Categorical_SSD,Categorical_DF,Categorical_DF_2,references_svl
Bokermannohyla_ahenea,lotic,3.136086097,1.710117365,1.701567985,-0.008549380056,1368,1033,1679,0.9805068226,51.3,45.9,56.7,NA,50.3,46,54.6,NA,Bokermannohyla circumdata,Bokermannohyla,male_SSD,low_DF,low_DF,Napoli & Caramaschi (2004); Garey et al. (2017)
Bokermannohyla_alvarengai,lotic,2.78497371,1.979775933,1.869525063,-0.1102508699,609.5,375,844,0.7757988476,95.45,64.3,126.6,NA,74.05,49.4,98.7,NA,Bokermannohyla pseudopseudis,Bokermannohyla,male_SSD,low_DF,low_DF,Napoli & Caramaschi (2004); Garey et al. (2020)
Bokermannohyla_astartea,lotic,3.273232834,1.598790507,1.63748973,0.03869922275,1876,1312,2484,1.093198992,39.7,36.8,42.7,40,43.4,42.3,44.3,4,Bokermannohyla circumdata,Bokermannohyla,female_SSD,high_DF,low_DF,Malagoli et al. (2021)
Bokermannohyla_capra,lotic,3.292256071,1.71432976,1.788875116,0.07454535603,1960,820,2490,1.187258687,51.8,46.8,56.8,NA,61.5,58.9,64.1,NA,Bokermannohyla circumdata,Bokermannohyla,female_SSD,high_DF,high_DF,Napoli & Pimenta (2009)
Bokermannohyla_caramaschii,lotic,NA,1.797959644,1.779596491,-0.01836315248,NA,NA,NA,0.9585987261,62.8,57.5,70,NA,60.2,55.3,67.2,NA,Bokermannohyla circumdata,Bokermannohyla,male_SSD,NA,NA,Napoli (2005)
Bokermannohyla_carvalhoi,lotic,3.240549248,1.802773725,NA,NA,1740,1500,2060,NA,63.5,60,67,NA,NA,NA,NA,NA,Bokermannohyla circumdata,Bokermannohyla,NA,high_DF,low_DF,Peixoto (1981); Carvalho et al. (2012)
Bokermannohyla_circumdata,ambiguous,2.681241237,1.793790385,1.77815125,-0.01563913431,480,330,660,0.9646302251,62.2,54.7,65.6,10,60,NA,NA,NA,Bokermannohyla circumdata,Bokermannohyla,male_SSD,low_DF,low_DF,Carvalho et al. (2012)
Bokermannohyla_diamantina,lotic,2.698970004,1.691965103,1.693726949,0.001761846156,500,400,600,1.004065041,49.2,46.7,51.7,NA,49.4,49.4,49.4,NA,Bokermannohyla circumdata,Bokermannohyla,female_SSD,low_DF,low_DF,
Bokermannohyla_flavopicta,lotic,3.161368002,1.767897616,1.784617293,0.01671967661,1450,1200,1700,1.039249147,58.6,51.9,65.3,NA,60.9,60.2,61.6,NA,Bokermannohyla pseudopseudis,Bokermannohyla,female_SSD,high_DF,low_DF,Leite et al. (2012); Rocha et al. (2016)
Bokermannohyla_gouveai,NA,2.986323777,1.832508913,NA,NA,969,560,1378,NA,68,68,68,NA,NA,NA,NA,NA,Bokermannohyla circumdata,Bokermannohyla,NA,low_DF,low_DF,Peixoto & Cruz (1992); Forti et al. (2019)
Bokermannohyla_hylax,lotic,3.301029996,1.764176132,1.790285164,0.02610903164,2000,1500,2440,1.061962134,58.1,NA,NA,NA,61.7,NA,NA,NA,Bokermannohyla circumdata,Bokermannohyla,female_SSD,high_DF,high_DF,Heyer et al. (1990)
Bokermannohyla_ibitiguara,lotic,3.324282455,1.607455023,1.605305046,-0.002149977074,2110,1378,2842,0.9950617284,40.5,32.6,48.4,NA,40.3,36.7,43.9,NA,Bokermannohyla pseudopseudis,Bokermannohyla,male_SSD,high_DF,high_DF,Nali & Prado (2014)
Bokermannohyla_ibitipoca,lotic,3.236033147,1.633468456,NA,NA,1722,516,2928,NA,43,43,43,NA,NA,NA,NA,NA,Bokermannohyla circumdata,Bokermannohyla,NA,high_DF,low_DF,Pereira et al. (2019)
Bokermannohyla_itapoty,lotic,3.396199347,1.608526034,1.669316881,0.06079084699,2490,1680,3300,1.150246305,40.6,37.8,46.3,12,46.7,43.4,50.2,3,Bokermannohyla pseudopseudis,Bokermannohyla,female_SSD,high_DF,high_DF,Lugli & Haddad (2006)
Bokermannohyla_izecksohni,lotic,NA,1.653212514,NA,NA,NA,NA,NA,NA,45,45,45,NA,NA,NA,NA,NA,Bokermannohyla circumdata,Bokermannohyla,NA,NA,NA,Toledo & Haddad (2008)
Bokermannohyla_juiju,lotic,3.200166246,1.718086295,1.719331287,0.001244992201,1585.5,903,2268,1.002870813,52.25,49.4,55.1,NA,52.4,52.4,52.4,1,Bokermannohyla martinsi,Bokermannohyla,female_SSD,high_DF,low_DF,Taucce et al. (2015)
Bokermannohyla_langei,lotic,NA,1.819543936,1.77815125,-0.04139268516,NA,NA,NA,0.9090909091,66,66,66,NA,60,60,60,1,Bokermannohyla martinsi,Bokermannohyla,male_SSD,NA,NA,Bokermann (1965)
Bokermannohyla_lucianae,ambiguous,3.290034611,1.684845362,NA,NA,1950,1200,2700,NA,48.4,47.6,49.2,NA,NA,NA,NA,NA,Bokermannohyla circumdata,Bokermannohyla,NA,high_DF,high_DF,Napoli & Pimenta (2003)
Bokermannohyla_luctuosa,ambiguous,3.021189299,1.761927838,1.730378469,-0.03154936983,1050,300,1800,0.9299307958,57.8,55,60.6,NA,53.75,52.5,55,NA,Bokermannohyla circumdata,Bokermannohyla,male_SSD,low_DF,low_DF,Pombal & Haddad (1993)
Bokermannohyla_martinsi,lotic,2.749736316,1.806044236,1.766784515,-0.03925972025,562,291,986,0.9135667396,63.98,54.6,73.06,22,58.45,53.12,65.65,24,Bokermannohyla martinsi,Bokermannohyla,male_SSD,low_DF,low_DF,Pinheiro et al. (2014); Magalhães et al. (2018)
Bokermannohyla_nanuzae,lotic,3.387389826,1.805024844,1.773603623,-0.0314212218,2440,2250,2630,0.9302052326,63.83,54.6,73.06,NA,59375,53.1,65.65,NA,Bokermannohyla circumdata,Bokermannohyla,male_SSD,high_DF,high_DF,Carvalho et al. (2012)
Bokermannohyla_napolii,lotic,2.67669361,1.730378469,1.713490543,-0.01688792549,475,390,560,0.9618604651,53.75,52.5,55,NA,51.7,49.7,53.7,NA,Bokermannohyla circumdata,Bokermannohyla,male_SSD,low_DF,low_DF,Carvalho et al. (2012)
Bokermannohyla_oxente,lotic,3.161368002,1.619093331,1.629409599,0.01031626848,1450,1000,1900,1.024038462,41.6,38.8,43.4,14,42.6,39.5,44.5,5,Bokermannohyla pseudopseudis,Bokermannohyla,female_SSD,high_DF,low_DF,Lugli & Haddad (2006)
Bokermannohyla_pseudopseudis,lotic,3.146128036,1.725094521,1.699837726,-0.02525679521,1400,400,2400,0.9435028249,53.1,53.1,53.1,1,50.1,50.1,50.1,NA,Bokermannohyla pseudopseudis,Bokermannohyla,male_SSD,low_DF,low_DF,Eterovick & Brandão (2001); Caramaschi et al. (2001)
Bokermannohyla_ravida,lotic,NA,1.629919036,1.579783597,-0.05013543889,NA,NA,NA,0.8909730363,42.65,37.7,47.6,NA,38,38,38,NA,Bokermannohyla circumdata,Bokermannohyla,male_SSD,NA,NA,Caramaschi et al. (2001)
Bokermannohyla_sagarana,lotic,NA,1.707995746,1.667919685,-0.04007606111,NA,NA,NA,0.9118511263,51.05,47.3,54.8,NA,46.55,44.5,48.6,NA,Bokermannohyla pseudopseudis,Bokermannohyla,male_SSD,NA,NA,Leite et al. (2011)
Bokermannohyla_sapiranga,lotic,2.763802224,1.687528961,1.673481697,-0.01404726414,580.5,516,645,0.9681724846,48.7,40.1,57.3,NA,47.15,39.8,54.5,NA,Bokermannohyla pseudopseudis,Bokermannohyla,male_SSD,low_DF,low_DF,Brandão et al. (2012)
Bokermannohyla_saxicola,lotic,3.06069784,1.643452676,1.618048097,-0.02540457977,1150,900,1400,0.9431818182,44,43,45,NA,41.5,40,43,NA,Bokermannohyla pseudopseudis,Bokermannohyla,male_SSD,low_DF,low_DF,Bokermann (1964); Eterovick & Brandão (2001)
Bokermannohyla_sazimai,lotic,3.386498966,1.52179165,NA,NA,2435,2060,2810,NA,33.25,28.3,38.2,NA,NA,NA,NA,NA,Bokermannohyla circumdata,Bokermannohyla,NA,high_DF,high_DF,Carvalho & Giaretta (2013)
Bokermannohyla_vulcaniae,ambiguous,3.047274867,1.652729696,1.694605199,0.04187550286,1115,880,1350,1.101223582,44.95,39.7,50.2,NA,49.5,45.7,53.3,NA,Bokermannohyla circumdata,Bokermannohyla,female_SSD,low_DF,low_DF,Vasconcelos & Giaretta (2005); Gaiga et al (2013)
Hyloscirtus_albopunctulatus,lotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hyloscirtus bogotensis,Hyloscirtus,NA,NA,NA,Ron & Read (2012)
Hyloscirtus_alytolylax,lotic,3.553883027,1.542202782,1.606166315,0.06396353217,3580,3520,3640,1.158680057,34.85,32.1,37,13,40.38,37.2,43.9,15,Hyloscirtus bogotensis,Hyloscirtus,female_SSD,high_DF,high_DF,Duellman (1972); Guayasamin et al. (2015)
Hyloscirtus_antiquoia,lotic,3.230193379,1.741939078,NA,NA,1699,1642,1756,NA,55.2,53.8,56.6,NA,NA,NA,NA,NA,Hyloscirtus larinopygion,Hyloscirtus,NA,low_DF,low_DF,Rivera-Correa et al. (2017)
Hyloscirtus_armatus,lotic,3.403806611,1.77524626,1.808210973,0.03296471318,2534,2524,2544,1.07885906,59.6,NA,NA,NA,64.3,NA,NA,NA,Hyloscirtus armatus,Hyloscirtus,female_SSD,high_DF,high_DF,Duellman et al. (1997)
Hyloscirtus_bogotensis,lotic,NA,1.599883072,1.696793085,0.09691001301,NA,NA,NA,1.25,39.8,30.1,49.5,NA,49.75,41.7,57.8,NA,Hyloscirtus bogotensis,Hyloscirtus,female_SSD,NA,NA,Ruiz-Carranza & Lynch (1982)
Hyloscirtus_callipeza,lotic,3.514547753,1.564666064,1.514547753,-0.05011831159,3270,3200,3330,0.8910081744,36.7,36.7,36.7,NA,32.7,32.3,33,2,Hyloscirtus bogotensis,Hyloscirtus,male_SSD,high_DF,high_DF,Duellman (1989); Rojas-Runjaic et al. (2018)
Hyloscirtus_caucanus,lotic,NA,1.545925329,1.533390708,-0.01253462134,NA,NA,NA,0.9715504979,35.15,33.3,37,NA,34.15,33.3,35,NA,Hyloscirtus larinopygion,Hyloscirtus,male_SSD,NA,NA,Ardila-Robayo & Ruiz-Carranza (1993)
Hyloscirtus_charazani,lotic,3.198657087,1.740362689,NA,NA,1580,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,Hyloscirtus armatus,Hyloscirtus,NA,low_DF,low_DF,Vellard (1970)
Hyloscirtus_chlorosteus,NA,NA,1.592731766,NA,NA,NA,NA,NA,NA,39.15,38.6,39.7,NA,NA,NA,NA,NA,Hyloscirtus armatus,Hyloscirtus,NA,NA,NA,Reynolds & Foster (1992); Faivovich & De la Riva (2006)
Hyloscirtus_colymba,lotic,3.555336328,1.539703239,1.559068334,0.01936509509,3592,3520,3640,1.045598846,34.65,31.9,37,6,36.23,31.4,39.1,3,Hyloscirtus bogotensis,Hyloscirtus,female_SSD,high_DF,high_DF,Duellman (1972)
Hyloscirtus_condor,lotic,3.008600172,1.847140617,NA,NA,1020,730,1290,NA,70.33,64.88,73.82,7,NA,NA,NA,NA,Hyloscirtus larinopygion,Hyloscirtus,NA,low_DF,low_DF,Almendáriz et al. (2014)
Hyloscirtus_conscientia,lotic,3.479287316,1.49762065,1.572290606,0.07466995637,3015,2930,3100,1.187599364,31.45,29.6,33.3,NA,37.35,34.7,40,NA,Hyloscirtus bogotensis,Hyloscirtus,female_SSD,high_DF,high_DF,Yanex-Munoz et al. (2021)
Hyloscirtus_criptico,lotic,3.208172527,1.800029359,1.82672252,0.02669316092,1615,1593.5,1636.5,1.063391442,63.1,62.1,64.1,2,67.1,60.8,72,7,Hyloscirtus larinopygion,Hyloscirtus,female_SSD,low_DF,low_DF,Coloma et al. (2012)
Hyloscirtus_denticulentus,lotic,NA,1.645422269,1.717670503,0.07224823365,NA,NA,NA,1.180995475,44.2,44.2,44.2,NA,52.2,52.2,52.2,NA,Hyloscirtus bogotensis,Hyloscirtus,female_SSD,NA,NA,Duellman (1972)
Hyloscirtus_diabolus,lotic,NA,1.933234129,NA,NA,NA,NA,NA,NA,85.75,82.3,89.2,NA,NA,NA,NA,NA,Hyloscirtus larinopygion,Hyloscirtus,NA,NA,NA,Riverra-Correa et al. (2016)
Hyloscirtus_hillisi,lotic,NA,1.846955325,1.818225894,-0.02872943141,NA,NA,NA,0.9359886202,70.3,66.7,72.3,3,65.8,NA,NA,1,Hyloscirtus larinopygion,Hyloscirtus,male_SSD,NA,NA,Ron et al. (2018)
Hyloscirtus_jahni,lotic,3.504470862,1.5289167,NA,NA,3195,2900,3490,NA,33.8,33.1,34.4,16,NA,NA,NA,NA,Hyloscirtus jahni,Hyloscirtus,NA,high_DF,high_DF,La Marca (1985)
Hyloscirtus_japreria,lotic,3.495544338,1.481442629,1.56937391,0.08793128111,3130,3080,3150,1.224422442,30.3,28.8,32.7,17,37.1,35.6,39.1,5,Hyloscirtus bogotensis,Hyloscirtus,female_SSD,high_DF,high_DF,Rojas-Runjaic et al. (2018)
Hyloscirtus_larinopygion,lotic,3.263399331,1.756255649,1.814247596,0.05799194698,1834,1722,1894,1.142857143,57.05,53.6,60.5,10,65.2,62,68.4,4,Hyloscirtus larinopygion,Hyloscirtus,female_SSD,low_DF,low_DF,Bernal et al. (2004); Rivera-Correa & Faivovich (2013)
Hyloscirtus_lascinius,lotic,3.367355921,1.631443769,NA,NA,2330,2132,2369,NA,42.8,41.6,44,5,NA,NA,NA,NA,Hyloscirtus bogotensis,Hyloscirtus,NA,low_DF,high_DF,Rojas-Runjaic et al. (2018)
Hyloscirtus_lindae,lotic,3.20119222,1.785329835,1.811575006,0.02624517086,1589.25,1464.3,1714.2,1.062295082,61,61,61,1,64.8,64.8,64.8,1,Hyloscirtus larinopygion,Hyloscirtus,female_SSD,low_DF,low_DF,Coloma et al. (2012)
Hyloscirtus_lynchi,NA,NA,1.641969598,NA,NA,NA,NA,NA,NA,43.85,41.3,46.4,NA,NA,NA,NA,NA,Hyloscirtus bogotensis,Hyloscirtus,NA,NA,NA,Ruiz-Carranza & Ardila-Robayo (1991)
Hyloscirtus_mashpi,lotic,3.463445032,1.498310554,1.576916956,0.07860640218,2907,2842,2929,1.198412698,31.5,28.7,33.8,14,37.75,37,38.5,2,Hyloscirtus bogotensis,Hyloscirtus,female_SSD,high_DF,high_DF,Guayasamin et al. (2015)
Hyloscirtus_pacha,lotic,3.265301414,1.772321707,1.822821645,0.05049993858,1842.05,1781.3,1902.8,1.123310811,59.2,58,60.8,3,66.5,66.5,66.5,1,Hyloscirtus larinopygion,Hyloscirtus,female_SSD,low_DF,low_DF,Duellmam & Hillis (1990); Coloma et al. (2012)
Hyloscirtus_palmeri,lotic,3.397940009,1.607455023,1.633468456,0.02601343236,2500,NA,NA,1.061728395,40.5,34.9,41.4,NA,43,35.7,50,NA,Hyloscirtus bogotensis,Hyloscirtus,female_SSD,low_DF,high_DF,Savage (2002)
Hyloscirtus_pantostictus,lotic,3.202338441,1.797267541,1.829303773,0.032036232,1593.45,1550.4,1636.5,1.076555024,62.7,62.7,62.7,1,67.5,67.5,67.5,1,Hyloscirtus larinopygion,Hyloscirtus,female_SSD,low_DF,low_DF,Coloma et al. (2012)
Hyloscirtus_phyllognathus,lotic,3.412964272,1.517987203,1.566673138,0.04868593458,2588,2550,2620,1.118628641,32.96,31.5,34,13,36.87,33,39.3,3,Hyloscirtus bogotensis,Hyloscirtus,female_SSD,high_DF,high_DF,Duellman (1972)
Hyloscirtus_piceigularis,lotic,NA,1.539703239,1.613841822,0.07413858293,NA,NA,NA,1.186147186,34.65,32.4,36.9,NA,41.1,41.1,41.1,NA,Hyloscirtus bogotensis,Hyloscirtus,female_SSD,NA,NA,Ruiz-Carranza & Lynch (1982)
Hyloscirtus_platydactylus,lotic,3.445604203,1.536053155,1.584444307,0.04839115201,2790,2700,2860,1.117869616,34.36,26.5,39.4,37,38.41,30.6,42.3,11,Hyloscirtus bogotensis,Hyloscirtus,female_SSD,high_DF,high_DF,Duellman (1972)
Hyloscirtus_princecharlesi,lotic,NA,1.841984805,NA,NA,NA,NA,NA,NA,69.5,68.1,70.5,3,NA,NA,NA,NA,Hyloscirtus larinopygion,Hyloscirtus,NA,NA,NA,Coloma et al. (2012)
Hyloscirtus_psarolaimus,lotic,3.37451006,1.740362689,1.779596491,0.03923380176,2368.7,2304.1,2433.3,1.094545455,55,53.6,55.6,4,60.2,58.1,63.4,3,Hyloscirtus larinopygion,Hyloscirtus,female_SSD,low_DF,high_DF,Duellman & Hillis (1990); Coloma et al. (2012)
Hyloscirtus_ptychodactylus,lotic,NA,1.818885415,1.888179494,0.06929407932,NA,NA,NA,1.172989378,65.9,65,67.5,4,77.3,77.3,77.3,1,Hyloscirtus larinopygion,Hyloscirtus,female_SSD,NA,NA,Duellman & Hillis (1990)
Hyloscirtus_sarampiona,lotic,NA,1.836956737,NA,NA,NA,NA,NA,NA,68.7,68.6,68.8,NA,NA,NA,NA,NA,Hyloscirtus larinopygion,Hyloscirtus,NA,NA,NA,Ruiz-Carranza & Lynch (1982)
Hyloscirtus_simmonsi,lotic,3.477121255,1.563481085,1.646403726,0.08292264083,3000,NA,NA,1.210382514,36.6,35,37.8,12,44.3,44.3,44.3,1,Hyloscirtus bogotensis,Hyloscirtus,female_SSD,high_DF,high_DF,Duellman (1989); Guayasamin et al. (2015)
Hyloscirtus_staufferorum,lotic,3.212187604,1.741151599,1.775974331,0.03482273228,1630,NA,NA,1.083484574,55.1,52.9,56.9,5,59.7,59.7,59.7,1,Hyloscirtus larinopygion,Hyloscirtus,female_SSD,low_DF,low_DF,Duellman & Coloma (1993)
Hyloscirtus_tapichalaca,lotic,3.139249218,1.790812754,1.820201459,0.02938870541,1378,1082,1943,1.070012141,61775,59.1,63.8,8,66.1,66.3,66.5,2,Hyloscirtus larinopygion,Hyloscirtus,female_SSD,low_DF,low_DF,Kizirian et al. (2003)
Hyloscirtus_tigrinus,NA,NA,1.764176132,1.800717078,0.03654094589,NA,NA,NA,1.08777969,58.1,54.2,60.7,3,63.2,63.2,63.2,1,Hyloscirtus larinopygion,Hyloscirtus,female_SSD,NA,NA,Mueses-Cisneros & Anganoy-Criollo (2008)
Hyloscirtus_torrenticola,lotic,3.397940009,1.525044807,1.542825427,0.01778061992,2500,2400,2600,1.041791045,33.5,31.5,35.5,NA,34.9,34.9,34.9,NA,Hyloscirtus bogotensis,Hyloscirtus,female_SSD,low_DF,high_DF,Duellman & Altig (1978)
Myersiohyla_aromatica,lotic,3.284430734,1.654176542,NA,NA,1925,1250,2600,NA,45.1,43.6,46.6,NA,NA,NA,NA,NA,Myersiohyla,Myersiohyla,NA,high_DF,high_DF,Ayarzagüena & Señaris (1994)
Myersiohyla_chamaeleo,lotic,3.153814864,1.663700925,1.7084209,0.04471997475,1425,950,1900,1.10845987,46.1,44.6,49.6,15,51.1,46,56.9,5,Myersiohyla,Myersiohyla,female_SSD,low_DF,low_DF,Faivovich et al. (2013)
Myersiohyla_inparquesi,lotic,3.204119983,1.698535493,NA,NA,1600,1200,2000,NA,49.95,49.5,50.4,NA,NA,NA,NA,NA,Myersiohyla,Myersiohyla,NA,low_DF,low_DF,Ayarzagüena & Señaris (1994)
Myersiohyla_liliae,ambiguous,3.526985069,1.541579244,NA,NA,3365,3240,3490,NA,34.8,32.5,37.1,NA,NA,NA,NA,NA,Myersiohyla,Myersiohyla,NA,high_DF,high_DF,Kok (2006)
Myersiohyla_loveridgei,lotic,NA,1.638489257,NA,NA,NA,NA,NA,NA,43.5,42,45,NA,NA,NA,NA,NA,Myersiohyla,Myersiohyla,NA,NA,NA,Rivero (1961)
Myersiohyla_neblinaria,lotic,3.223495941,1.703291378,1.770115295,0.06682391667,1673,NA,NA,1.166336634,50.5,47.7,52.3,9,58.9,54,61.6,4,Myersiohyla,Myersiohyla,female_SSD,low_DF,low_DF,Faivovich et al. (2013)
Nesorohyla_kanaima,ambiguous,3.350054094,1.5774918,1.673481697,0.09598989724,2239,1872,2755,1.247354497,37.8,37,37.8,3,47.15,46.3,48,2,Nesorohyla,Nesorohyla,female_SSD,high_DF,high_DF,Pinheiro et al. (2019)
